SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
935650,11KFL19     ,F ,D,995.00,1029.90,995.00,1029.90,1029.90,993.00,2,400,404980.00,
935666,769NHAI31   ,F ,D,1140.00,1140.00,1140.00,1140.00,1140.00,1147.35,1,89,101460.00,
935674,769HUDCO31  ,F ,D,1120.84,1120.84,1120.84,1120.84,1120.84,1143.90,1,1000,1120840.00,
935688,729NABARD26 ,F ,D,1045.00,1063.60,1040.10,1059.65,1063.60,1041.60,9,800,838249.00,
935690,764NABARD31 ,F ,D,1104.25,1109.00,1100.00,1104.33,1108.50,1102.50,31,2578,2844223.00,
935700,9MFL19A     ,F ,D,1071.00,1071.00,1065.00,1067.41,1068.01,1071.10,7,470,501730.00,
935724,11SFL20     ,F ,D,990.00,990.00,990.00,990.00,990.00,1000.00,2,20,19800.00,
935740,872MMFSL26  ,F ,D,1049.00,1049.00,1049.00,1049.00,1049.00,1054.00,1,5,5245.00,
935752,9MMFSL26    ,F ,D,1080.08,1080.25,1080.08,1080.25,1080.25,1093.00,4,295,318664.00,
935786,957EHFL26   ,F ,D,1030.00,1050.00,1030.00,1050.00,1050.00,1061.00,6,50,51960.00,
935788,10EHFL26    ,F ,D,1112.00,1113.99,1110.00,1111.00,1111.00,1116.93,6,66,73433.00,
935794,883DHFL19B  ,F ,D,990.15,990.17,990.15,990.16,990.16,1001.00,5,102,100996.00,
935798,888DHFL21B  ,F ,D,995.15,995.15,990.06,990.40,995.00,1010.00,14,206,204915.00,
935802,893DHFL26B  ,F ,D,1008.00,1023.98,1008.00,1023.98,1023.98,1027.50,4,120,122418.00,
935810,925DHFL21B  ,F ,D,1044.15,1050.00,1044.15,1050.00,1050.00,1040.00,4,200,209165.00,
935814,930DHFL26B  ,F ,D,1075.00,1080.00,1075.00,1080.00,1080.00,1077.00,5,1050,1132100.00,
